,Name,Type,Park Code,Org Code,Region,NameType
109,EFFIGY MOUNDS     ,NM,EFMO,6290,MWR,EFFIGY MOUNDS NM
110,EISENHOWER  ,NHS,EISE,4410,NER,EISENHOWER NHS
111,EL MALPAIS    ,NM,ELMA,7190,IMR,EL MALPAIS NM
112,EL MORRO    ,NM,ELMO,7410,IMR,EL MORRO NM
114,EUGENE O'NEILL      ,NHS,EUON,8190,PWR,EUGENE O'NEILL NHS
115,EVERGLADES     ,NP,EVER,5281-5299,SER,EVERGLADES NP
117,FIRE ISLAND    ,NS,FIIS,1750,NER,FIRE ISLAND NS
120,FLIGHT 93  ,NMEM,FLNI,4140,NER,FLIGHT 93 NMEM
121,FLORISSANT FOSSIL BEDS    ,NM,FLFO,1410,IMR,FLORISSANT FOSSIL BEDS NM
122,FORD'S THEATRE  ,NHS,FOTH,3460-3466,NCR,FORD'S THEATRE NHS
123,FORT BOWIE      ,NHS,FOBO,8640,IMR,FORT BOWIE NHS
124,FORT CAROLINE     ,NMEM,FOCA,5310,SER,FORT CAROLINE NMEM
125,FORT DAVIS      ,NHS,FODA,5310,IMR,FORT DAVIS NHS
126,FORT DONELSON  ,NB,FODO,5400&5409,SER,FORT DONELSON NB
127,FORT FREDERICA     ,NM,FOFR,5410,SER,FORT FREDERICA NM
128,FORT LARAMIE      ,NHS,FOLA,1420,IMR,FORT LARAMIE NHS
129,FORT LARNED       ,NHS,FOLS,6340,MWR,FORT LARNED NHS
130,FORT MATANZAS     ,NM,FOMA,5281-5299,SER,FORT MATANZAS NM
131,FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE,OTHER,FOMC,4340,NER,FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE OTHER
133,FORT NECESSITY  ,NB,FONE,4160,NER,FORT NECESSITY NB
134,FORT POINT      ,NHS,FOPO,8160,PWR,FORT POINT NHS
135,FORT PULASKI     ,NM,FOPU,5420,SER,FORT PULASKI NM
136,FORT RALEIGH       ,NHS,FORA,5185,SER,FORT RALEIGH NHS
137,FORT SCOTT       ,NHS,FOSC,6350,MWR,FORT SCOTT NHS
138,FORT SMITH       ,NHS,FOSM,7320,MWR,FORT SMITH NHS
139,FORT STANWIX ,NM,FOST,1760,NER,FORT STANWIX NM
140,FORT SUMTER                                (includes Fort Moultrie-FOMO),NM,FOSU,5430&5440,SER,FORT SUMTER                                (includes Fort Moultrie-FOMO) NM
141,FORT UNION    ,NM,FOUN,7230,IMR,FORT UNION NM
142,FORT UNION TRADING POST       ,NHS,FOUS,1549,MWR,FORT UNION TRADING POST NHS
