State,Park,Recreation Visitors,Percent Change
WA,Whitman Mission NHS,"52,000",18.39%
WV,Bluestone NSR,"14,113",-47.16%
WV,Gauley River NRA,"163,510",-2.55%
WV,Harpers Ferry NHP,"407,008",31.33%
WV,New River Gorge NP & PRES,"1,593,523",-5.30%
WI,Apostle Islands NL,"254,952",-12.38%
WI,Saint Croix NSR,"416,886",13.89%
WY,Bighorn Canyon NRA,"100,123",-0.84%
WY,Devils Tower NM,"480,713",-12.71%
WY,Fort Laramie NHS,"39,657",-7.57%
WY,Fossil Butte NM,"17,879",-15.48%
WY,Grand Teton NP,"2,806,223",-27.77%
WY,"John D. Rockefeller, Jr. MEM PKWY","1,091,196",-31.97%
WY,Yellowstone NP,"1,612,219",-32.30%
,,,
