Name,Type,Park Code,Org Code,Region,Park
MANASSAS      ,NBP,MANA,3840,NCR,MANASSAS NBP
MANHATTAN PROJECT,NHP,MAPR,1480,IMR,MANHATTAN PROJECT NHP
MANZANAR      ,NHS,MANZ,8760,PWR,MANZANAR NHS
MARSH-BILLINGS-ROCKEFELLER  ,NHP,MABI,1818,NER,MARSH-BILLINGS-ROCKEFELLER NHP
"MARTIN LUTHER KING, JR.",NHP,MALU,5560,SER,"MARTIN LUTHER KING, JR. NHP"
MARTIN VAN BUREN  ,NHS,MAVA,1950,NER,MARTIN VAN BUREN NHS
MESA VERDE    ,NP,MEVE,1490-1496,IMR,MESA VERDE NP
MINUTE MAN  ,NHP,MIMA,1820,NER,MINUTE MAN NHP
MINUTEMAN MISSILE       ,NHS,MIMI,1305,MWR,MINUTEMAN MISSILE NHS
MISSISSIPPI NATIONAL RIVER AND RECREATION AREA,NR&RA,MISS,1305,MWR,MISSISSIPPI NATIONAL RIVER AND RECREATION AREA NR&RA
MISSOURI NATIONAL RECREATIONAL RIVER,NRR,MNRR,1305,MWR,MISSOURI NATIONAL RECREATIONAL RIVER NRR
MOJAVE    ,NP&PRES,MOJA,"
8380-8388
",PWR,MOJAVE NP&PRES
MONOCACY    ,NB,MONO,3130-3150,NCR,MONOCACY NB
MONTEZUMA CASTLE    ,NM,MOCA,8650,IMR,MONTEZUMA CASTLE NM
MOORES CREEK     ,NB,MOCR,5550,SER,MOORES CREEK NB
MORRISTOWN,NHP,MORR,1830,NER,MORRISTOWN NHP
MOUNT RAINIER    ,NP,MORA,9450-9458,PWR,MOUNT RAINIER NP
MOUNT RUSHMORE     ,NMEM,MORU,1305,MWR,MOUNT RUSHMORE NMEM
MUIR WOODS    ,NM,MUWO,8180,PWR,MUIR WOODS NM
NATCHEZ   ,NHP,NATC,5565,SER,NATCHEZ NHP
NATCHEZ TRACE NATIONAL SCENIC TRAIL       ,NST,NATR,5570-5578 ,SER,NATCHEZ TRACE NATIONAL SCENIC TRAIL NST
NATCHEZ TRACE PARKWAY  ,PW,NATR,5570-5578 ,SER,NATCHEZ TRACE PARKWAY PW
NATIONAL  MALL,OTHER,NAMA,3401-3430,NCR,NATIONAL  MALL OTHER
"NATIONAL CAPITAL PARKS - EAST (includes Fort Washington, Frederick Douglass, Greenbelt Park, Mary McLeod Bethune Council House, Oxen Hill, Carter G. Woodson, etc.)",OTHER,NACE,3501-3564,NCR,"NATIONAL CAPITAL PARKS - EAST (includes Fort Washington, Frederick Douglass, Greenbelt Park, Mary McLeod Bethune Council House, Oxen Hill, Carter G. Woodson, etc.) OTHER"
NATIONAL MALL AND MEMORIAL PARKS,OTHER,NAMA,3401-3430,NCR,NATIONAL MALL AND MEMORIAL PARKS OTHER
MINIDOKA     ,NHS,MIIN,9360,PWR,MINIDOKA NHS
NATIONAL PARK  OF AMERICAN SAMOA,NP,NPSA,8770,PWR,NATIONAL PARK  OF AMERICAN SAMOA NP
NATURAL BRIDGES    ,NM,NABR,1349,IMR,NATURAL BRIDGES NM
NAVAJO    ,NM,NAVA,7430,IMR,NAVAJO NM
NEW BEDFORD WHALING ,NHP,NEBE,1842,NER,NEW BEDFORD WHALING NHP
NEW ORLEANS JAZZ    ,NHP,JAZZ,5705,SER,NEW ORLEANS JAZZ NHP
NEW RIVER GORGE ,NR,NERI,4780/4783-4788,NER,NEW RIVER GORGE NR
NEZ PERCE    ,NHP,NEPE,9370-9377,PWR,NEZ PERCE NHP
NICODEMUS       ,NHS,NICO,6345,MWR,NICODEMUS NHS
NINETY SIX       ,NHS,NISI,5610,SER,NINETY SIX NHS
NIOBRARA       ,NSR,NIOB,6630,MWR,NIOBRARA NSR
NORTH CASCADES    ,NP,NOCA,9470-9479,PWR,NORTH CASCADES NP
OBED      ,W&SR,OBRI,5640,SER,OBED W&SR
OCMULGEE     ,NM,OCMU,5620,SER,OCMULGEE NM
OLYMPIC    ,NP,OLYM,9500-9512,PWR,OLYMPIC NP
OREGON CAVES    ,NM&PRE,ORCA,9340,PWR,OREGON CAVES NM&PRE
ORGAN PIPE CACTUS    ,NM,ORPI,8660,IMR,ORGAN PIPE CACTUS NM
OVERMOUNTAIN VICTORY,NHT,OVVI,5520,SER,OVERMOUNTAIN VICTORY NHT
OZARK NATIONAL SCENIC RIVERWAY,NSR,OZAR,6640,MWR,OZARK NATIONAL SCENIC RIVERWAY NSR
PADRE ISLAND    ,NS,PAIS,7490-7499,IMR,PADRE ISLAND NS
PALO ALTO        ,NHP,PAAL,7580,IMR,PALO ALTO NHP
PEA RIDGE       ,NMP,PERI,7330,MWR,PEA RIDGE NMP
PEARL HARBOR (USS Arizona) (Honouliuli NM) ,NMEM,PERL,8895,PWR,PEARL HARBOR (USS Arizona) (Honouliuli NM) NMEM
PECOS    ,NHP,PECO,7500,IMR,PECOS NHP
PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL,NMEM,PEVI,6516,MWR,PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL NMEM
PETERSBURG      ,NB,PETE,4770,NER,PETERSBURG NB
PETRIFIED FOREST    ,NP,PEFO,8430,IMR,PETRIFIED FOREST NP
PETROGLYPH    ,NM,PETR,7570,IMR,PETROGLYPH NM
PICTURED ROCKS     ,NL,PIRO,6516,MWR,PICTURED ROCKS NL
PIPE SPRING    ,NM,PISP,1510,IMR,PIPE SPRING NM
PIPESTONE     ,NM,PIPE,6540,MWR,PIPESTONE NM
PINNACLES    ,NP,PINN,8450,PWR,PINNACLES NP
POINT REYES    ,NS,PORE,8450,PWR,POINT REYES NS
PU'UHONUA O HONAUNAU     ,NHP,PUHO,8280-8283,PWR,PU'UHONUA O HONAUNAU NHP
PU'UKOHOLA HEIAU      ,NHS,PUHE,8310-8313,PWR,PU'UKOHOLA HEIAU NHS
PORT CHICAGO NAVAL MAGAZINE,NM,POCH,8500,PWR,PORT CHICAGO NAVAL MAGAZINE NM
POTOMAC HERITAGE      ,NST,POHT,3991,NCR,POTOMAC HERITAGE NST
PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME,NHS,WICL,6365,MWR,PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME NHS
PRINCE WILLIAM FOREST PARK,OTHER,PRWI,3701-3714,NCR,PRINCE WILLIAM FOREST PARK OTHER
RAINBOW BRIDGE    ,NM,RABR,1449,IMR,RAINBOW BRIDGE NM
RECONSTRUCTION ERA,NM,REER,5750,SER,RECONSTRUCTION ERA NM
REDWOOD,NP,REDW,8480,PWR,REDWOOD NP
RICHMOND      ,NBP,RICH,4800-4804,NER,RICHMOND NBP
RIO GRANDE      ,W&SR,RIGR,7560,IMR,RIO GRANDE W&SR
RIVER RAISIN ,NBP,RIRA,6495,MWR,RIVER RAISIN NBP
ROCK CREEK  ,PARK,ROCR,3451-3459,NCR,ROCK CREEK PARK
ROCKY MOUNTAIN    ,NP,ROMO,1520-1529,IMR,ROCKY MOUNTAIN NP
ROGER WILLIAMS  ,NMEM,ROWI,1860,NER,ROGER WILLIAMS NMEM
ROSIE THE RIVETER/WWII HOME FRONT    ,NHP,RORI,8490,PWR,ROSIE THE RIVETER/WWII HOME FRONT NHP
ROSS LAKE  ,NRA,ROLA,9490,PWR,ROSS LAKE NRA
RUSSELL CAVE     ,NM,RUCA,5660,SER,RUSSELL CAVE NM
SAGAMORE HILL  ,NHS,SAHI,1880,NER,SAGAMORE HILL NHS
SAGUARO    ,NP,SAGU,8670,IMR,SAGUARO NP
SAINT CROIX      ,NSR,SACN,6590,MWR,SAINT CROIX NSR
SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE     ,OTHER,SACR,1708,NER,SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE OTHER
SAINT PAUL'S CHURCH  ,NHS,SAPA,1890,NER,SAINT PAUL'S CHURCH NHS
SAINT-GAUDENS  ,NHS,SAGA,1915,NER,SAINT-GAUDENS NHS
SALEM MARITIME  ,NHS,SAMA,1900,NER,SALEM MARITIME NHS
